,Year,Month,States Affected and Category by States,Highest Saffir- Simpson U.S. Category,Central Pressure (mb),Max Wind (kt),Name
100,1904,Sep,"SC, 1",1,985,70,-----
101,1904,Oct,"FL, SE1",1,985,70,-----
102,1906,Jun,"FL, SW1, SE1",1,979,75,-----
103,1906,Sep,"SC, 1; NC, 1",1,977,80,-----
104,1906,Sep,"MS, 2; AL, 2; FL, NW2; LA, 1",2,958,95,-----
105,1906,Oct,"FL, SW3, SE3",3,953,105,-----
106,1908,Jul,"NC, 1",1,985,70,-----
107,1909,Jun,"TX, S2",2,972,85,-----
108,1909,Jul,"TX, N3",3,959,100,"""Velasco"""
109,1909,Aug,"# TX, S1",1,955,65,-----
110,1909,Sep,"LA, 3; MS, 2",3,952,105,"""Grand Isle"""
111,1909,Oct,"FL, SW3, SE3",3,957,100,-----
112,1910,Sep,"TX, S2",2,965,90,-----
113,1910,Oct,"FL, SW2",2,955,95,-----
114,1911,Aug,"FL, NW1; AL,1",1,982,70,-----
115,1911,Aug,"SC, 2; GA, 1",2,972,85,-----
116,1912,Sep,"AL, 1; FL, NW1",1,986,65,-----
117,1912,Oct,"TX, S2",2,970,85,-----
118,1913,Jun,"TX, S1",1,986,65,-----
119,1913,Sep,"NC, 1",1,976,75,-----
120,1913,Oct,"SC, 1",1,989,65,-----
121,1915,Aug,"FL, NE1",1,990,65,-----
122,1915,Aug,"TX, N4, C1; LA, 1",4,940,115,"""Galveston"""
123,1915,Sep,"FL, NW1",1,982,80,-----
124,1915,Sep,"LA, 3; MS, 2",3,944,110,"""New Orleans"""
125,1916,Jul,"MS, 3; AL, 2; FL, NW2",3,950,105,-----
126,1916,Jul,"SC, 2",2,960,95,-----
127,1916,Aug,"TX, S4",4,932,115,-----
128,1916,Oct,"AL, 2; FL, NW2",2,970,95,-----
129,1917,Sep,"FL, NW3; LA, 2; AL, 1",3,949,100,-----
130,1918,Aug,"LA, 3; TX, N1",3,955,105,-----
131,1918,Aug,"NC, 1",1,988,65,-----
132,1919,Sep,"FL, SW4, SE2; TX, S3, C3",4,927,130,-----
133,1920,Sep,"LA, 2",2,975,85,-----
134,1921,Jun,"TX, C1, N1",1,980,80,-----
135,1921,Oct,"FL, SW3, NW2, NE1",3,958,100,"""Tampa Bay"""
136,1923,Oct,"LA, 1; MS, 1",1,983,70,-----
137,1924,Sep,"FL, NW1",1,980,75,-----
138,1924,Oct,"FL, SW1, SE1",1,975,80,-----
139,1926,Jul,"FL, NE2; SE1",2,967,90,-----
140,1926,Aug,"LA, 3",3,955,100,-----
141,1926,Sep,"FL, SE4, SW3, NW3; AL, 3; MS, 1",4,930,125,"""Great Miami"""
142,1926,Oct,"* FL, SW1, SE1",1,949,75,-----
143,1928,Aug,"FL, SE2",2,977,85,-----
144,1928,Sep,"FL, SE4, SW3, NE1, NW1; GA, 1; SC, 1",4,929,125,"""Lake Okeechobee"""
145,1929,Jun,"TX, C1",1,982,80,-----
146,1929,Sp-Oc,"FL, SE3, SW2, NW1",3,948,100,-----
147,1932,Aug,"TX, N4, C1",4,935,130,"""Freeport"""
148,1932,Sep,"AL, 1; FL, NW1",1,979,75,-----
149,1933,Jl-Au,"# TX, S1; FL, SE1",1,975,80,-----
150,1933,Aug,"NC, 1; VA, 1; MD, 1",1,963,80,-----
151,1933,Sep,"TX, S3",3,940,110,-----
152,1933,Sep,"FL, SE3",3,948,110,-----
153,1933,Sep,"* NC, 2; VA, 1",2,952,85,-----
154,1934,Jun,"LA, 2",2,966,85,-----
155,1934,Jul,"TX, S1",1,979,75,-----
156,1934,Sep,"* NC, 1; NJ, 1; NY, 1",1,975,65,-----
157,1935,Sep,"FL, SE5, SW5, NW2; I-GA, 1",5,892,160,"""Labor Day"""
158,1935,Nov,"FL, SE2, NE1",2,965,85,-----
159,1936,Jun,"TX, C1",1,987,70,-----
160,1936,Jul,"FL; NW2; I-AL,1",2,964,90,-----
161,1936,Sep,"NC, 1; VA, 1",1,964,75,-----
162,1938,Aug,"LA, 1",1,995,65,-----
163,1938,Sep,"NY, 3; CT, 3; RI, 3; MA, 2",3,941,105,"""Great New England"""
164,1939,Aug,"FL, SE1, NW1",1,985,65,-----
165,1940,Aug,"TX, N2; LA, 2",2,972,85,-----
166,1940,Aug,"SC, 2; GA, 1",2,972,85,-----
167,1941,Sep,"TX, N3,C2",3,942,110,-----
168,1941,Oct,"FL, SE2, SW1, NW1, I-GA, 1",2,980,85,-----
169,1942,Aug,"TX, N1",1,992,65,-----
170,1942,Aug,"TX, C3, N2",3,950,100,-----
171,1943,Jul,"TX, N2",2,967,90,-----
172,1944,Aug,"NC, 1",1,985,70,-----
173,1944,Sep,"NC, 2; VA, 2; NY, 2; CT, 1; RI, 2; MA, 1; NJ, 1",2,954,90,"""Great Atlantic"""
174,1944,Oct,"FL, SW3, NE2, NW1",3,949,105,-----
175,1945,Jun,"FL, NW1",1,985,70,-----
176,1945,Aug,"TX, C2, S1, N1",3,963,100,-----
177,1945,Sep,"FL, SE4, SW3, NE1",4,949,115,-----
178,1946,Oct,"FL, SW1, NW1",1,980,75,-----
179,1947,Aug,"TX, C1",1,984,70,-----
180,1947,Sep,"FL, SE4, SW2, LA, 2, MS, 2",4,943,115,-----
181,1947,Oct,"GA, 2, SC, 2, FL, SW1, SE1",2,965,90,-----
182,1948,Sep,"LA, 1",1,983,70,-----
183,1948,Sep,"FL, SW4, SE2",4,940,115,-----
184,1948,Oct,"FL, SW2, SE2",2,963,90,-----
185,1949,Aug,"*NC, 1",1,977,70,-----
186,1949,Aug,"FL, SE4, SW1, NW1, NE1, GA, 1",4,954,115,-----
187,1949,Oct,"TX, N2, C1",2,965,95,-----
188,1950,Aug,"AL, 1, FL, NW1",1,979,75,Baker
189,1950,Sep,"FL, NW3, SW1",3,960,105,Easy
190,1950,Oct,"FL, SE4, NE1",4,955,115,King
191,1952,Aug,"SC, 2",2,980,85,Able
192,1953,Aug,"NC, 1",1,975,80,Barbara
193,1953,Sep,"FL, NW1",1,975,80,Florence
194,1953,Oct,"FL, SW1",1,980,75,Hazel
195,1954,Aug,"NY, 3; CT, 3; RI, 3; MA, 2; NC, 1",3,955,100,Carol
196,1954,Sep,"MA, 2; NC, 1; NY, 1; RI, 1",2,950,95,Edna
197,1954,Oct,"SC, 4; NC, 4",4,938,115,Hazel
198,1955,Aug,"NC, 2; VA, 1",2,962,85,Connie
199,1955,Sep,"NC, 2",2,955,90,Ione
200,1956,Sep,"LA, 1; FL, NW1",1,974,80,Flossy
201,1957,Jun,"LA, 3; TX, N2",3,946,110,Audrey
202,1958,Sep,"* NC, 3",3,938,110,Helene
203,1959,Jul,"SC, 1",1,995,65,Cindy
204,1959,Jul,"TX, N1",1,980,75,Debra
205,1959,Sep,"SC, 4",4,951,115,Gracie
206,1960,Sep,"FL, SW4, SE4, NE1; NC, 2; VA, 1; NY, 2; CT, 1; RI, 1; MA, 1",4,930,125,Donna
207,1960,Sep,"LA, 1; MS, 1",1,980,80,Ethel
208,1961,Sep,"TX, C4. N3, S1",4,931,125,Carla
209,1964,Aug,"FL, SE2",2,968,95,Cleo
210,1964,Sep,"FL, NE2",2,966,95,Dora
211,1964,Oct,"LA, 2",2,959,90,Hilda
212,1964,Oct,"FL, SW2, SE1",2,970,90,Isbell
213,1965,Sep,"FL, SE3, SW3, LA, 4",4,946,115,Betsy
214,1966,Jun,"* FL, SW2,NW1",3,962,100,Alma
215,1966,Oct,"FL, SW2, SE2",2,984,85,Inez
216,1967,Sep,"# TX, S3",3,940,100,Beulah
217,1968,Oct,"FL, NW2, NE1; NC, 1",2,978,85,Gladys
218,1969,Aug,"LA, 5; MS, 5; AL, 1",5,900,150,Camille
219,1970,Aug,"TX, S4",4,944,120,Celia
220,1971,Sep,"LA, 2",2,978,-----,Edith
221,1971,Sep,"TX, C1",1,979,-----,Fern
222,1971,Sep,"NC, 1",1,995,-----,Ginger
223,1972,Jun,"FL, NW1; NY, 1; CT, 1",1,980,-----,Agnes
224,1974,Sep,"LA, 3",3,952,-----,Carmen
225,1975,Sep,"FL, NW3; I-AL, 1",3,955,-----,Eloise
226,1976,Aug,"NY, 1",1,980,-----,Belle
227,1977,Sep,"LA, 1",1,995,-----,Babe
228,1979,Jul,"LA, 1",1,986,-----,Bob
229,1979,Sep,"FL, SE2, NE2; GA, 2; SC, 2",2,970,-----,David
230,1979,Sep,"AL, 3; MS, 3",3,946,-----,Frederic
231,1980,Aug,"TX, S3",3,945,100,Allen
232,1983,Aug,"TX, N3",3,962,100,Alicia
233,1984,Sep,"* NC, 2",2,949,95,Diana
234,1985,Jul,"SC, 1",1,1003,65,Bob
235,1985,Aug,"LA, 1",1,987,80,Danny
236,1985,Sep,"AL, 3; MS, 3; FL, NW3",3,959,100,Elena
237,1985,Sep,"NC, 3; NY, 3; CT, 2; NH, 2; ME, 1",3,942,90,Gloria
238,1985,Oct,"LA, 1",1,971,75,Juan
239,1985,Nov,"FL, NW2; I-GA 1",2,967,85,Kate
240,1986,Jun,"TX, N1",1,990,75,Bonnie
241,1986,Aug,"NC, 1",1,990,65,Charley
242,1987,Oct,"FL, SW1",1,993,65,Floyd
243,1988,Sep,"LA, 1",1,984,70,Florence
244,1989,Aug,"TX, N1",1,986,70,Chantal
245,1989,Sep,"SC, 4; I-NC 1",4,934,120,Hugo
246,1989,Oct,"TX, N1",1,983,75,Jerry
247,1991,Aug,"RI, 2; MA, 2; NY, 2; CT, 2",2,962,90,Bob
248,1992,Aug,"FL, SE5, SW4; LA, 3",5,922,145,Andrew
249,1993,Aug,"* NC, 3",3,961,100,Emily
250,1995,Aug,"FL, NW2, SE1",2,973,85,Erin
251,1995,Oct,"FL, NW3, I-AL 1",3,942,100,Opal
252,1996,Jul,"NC, 2",2,974,90,Bertha
253,1996,Sep,"NC, 3",3,954,100,Fran
254,1997,Jul,"LA, 1; AL, 1",1,984,70,Danny
255,1998,Aug,"NC, 2",2,964,95,Bonnie
256,1998,Sep,"FL, NW1",1,987,70,Earl
257,1998,Sep,"FL, SW2; MS, 2",2,964,90,Georges
258,1999,Aug,"TX, S3",3,951,100,Bret
259,1999,Sep,"NC, 2",2,956,90,Floyd
